country;freedom
Afghanistan;27
Albania;66
Algeria;32
Andorra;93
Angola;31
Antigua and Barbuda;85
Argentina;84
Armenia;55
Australia;97
Austria;93
Azerbaijan;10
Bahamas;91
Bahrain;12
Bangladesh;39
Barbados;95
Belarus;11
Belgium;96
Belize;87
Benin;65
Bhutan;61
Bolivia;66
Bosnia and Herzegovina;53
Botswana;72
Brazil;74
Brunei;28
Bulgaria;78
Burkina Faso;54
Burundi;14
Cambodia;24
Cameroon;16
Canada;98
Cape Verde;92
Central African Republic;9
Chad;17
Chile;93
China;9
Colombia;65
Comoros;42
Democratic Republic of the Congo;20
Republic of the Congo;20
Costa Rica;91
Croatia;85
Cuba;13
Cyprus;94
Czech Republic;91
Denmark;97
Djibouti;24
Dominica;93
Dominican Republic;67
East Timor;72
Ecuador;67
Egypt;18
El Salvador;63
Equatorial Guinea;5
Eritrea;2
Estonia;94
Ethiopia;22
Eswatini;19
Fiji;60
Finland;100
France;90
Gabon;22
Gambia;46
Georgia;60
Germany;94
Ghana;82
Greece;87
Grenada;89
Guatemala;52
Guinea;38
Guinea-Bissau;44
Guyana;73
Haiti;37
Honduras;44
Hungary;69
Iceland;94
India;67
Indonesia;59
Iran;16
Iraq;29
Ireland;97
Israel;76
Italy;90
Ivory Coast;44
Jamaica;80
Japan;96
Jordan;34
Kazakhstan;23
Kenya;48
Kiribati;93
Kosovo;54
Kuwait;37
Kyrgyzstan;28
Laos;13
Latvia;89
Lebanon;43
Lesotho;63
Liberia;60
Libya;9
Liechtenstein;90
Lithuania;90
Luxembourg;97
Madagascar;60
Malawi;66
Malaysia;51
Maldives;40
Mali;33
Malta;90
Marshall Islands;93
Mauritania;35
Mauritius;87
Mexico;61
Micronesia;92
Moldova;61
Monaco;83
Mongolia;84
Montenegro;63
Morocco;37
Mozambique;43
Myanmar;28
Namibia;77
Nauru;77
Nepal;56
Netherlands;98
New Zealand;99
Nicaragua;30
Niger;48
Nigeria;45
North Korea;3
North Macedonia;66
Norway;100
Oman;23
Pakistan;37
Palau;92
Panama;83
Papua New Guinea;62
Paraguay;65
Peru;71
Philippines;56
Poland;82
Portugal;96
Qatar;25
Romania;83
Russia;20
Rwanda;21
Saint Kitts and Nevis;89
Saint Lucia;91
Saint Vincent and the Grenadines;91
Samoa;81
San Marino;93
S?o Tom? and Pr?ncipe;84
Saudi Arabia;7
Senegal;71
Serbia;64
Seychelles;77
Sierra Leone;65
Singapore;48
Slovakia;90
Slovenia;95
Solomon Islands;79
Somalia;7
South Africa;79
South Korea;83
South Sudan;2
Spain;90
Sri Lanka;56
Sudan;17
Suriname;79
Sweden;100
Switzerland;96
Syria;1
Taiwan;94
Tajikistan;8
Tanzania;34
Thailand;30
Togo;43
Tonga;79
Trinidad and Tobago;82
Tunisia;71
Turkey;32
Turkmenistan;2
Tuvalu;93
Uganda;34
Ukraine;60
United Arab Emirates;17
United Kingdom;93
United States;83
Uruguay;98
Uzbekistan;11
Vanuatu;82
Venezuela;14
Vietnam;19
Yemen;11
Zambia;52
Zimbabwe;28
