country;life_expectancy
Hong Kong;84,9
Japan;84,6
Switzerland;83,8
Singapore;83,6
Spain;83,5
Italy;83,4
Australia;83,4
Iceland;83
Israel;83
South Korea;83
Sweden;82,8
France;82,7
Malta;82,5
Norway;82,4
Canada;82,4
Ireland;82,3
Netherlands;82,3
New Zealand;82,3
Luxembourg;82,3
Greece;82,2
Portugal;82,1
Finland;81,9
Andorra;81,9
Belgium;81,6
Austria;81,5
Germany;81,3
United Kingdom;81,3
Slovenia;81,3
Cyprus;81
Denmark;80,9
Liechtenstein;80,7
Costa Rica;80,3
Chile;80,2
Qatar;80,2
Czech Republic;79,4
Barbados;79,2
United States;79,1
Lebanon;78,9
Maldives;78,9
Estonia;78,8
Cuba;78,8
Poland;78,7
Albania;78,6
Croatia;78,5
Panama;78,5
Dominica;78,2
United Arab Emirates;78
Uruguay;77,9
Oman;77,9
Turkey;77,7
Slovakia;77,5
Bosnia and Herzegovina;77,4
Bahrain;77,3
Colombia;77,3
Thailand;77,2
Sri Lanka;77
Antigua and Barbuda;77
Ecuador;77
Hungary;76,9
Montenegro;76,9
China;76,9
Algeria;76,9
Argentina;76,7
Iran;76,7
Peru;76,7
Tunisia;76,7
Morocco;76,7
Malaysia;76,2
Saint Lucia;76,2
Romania;76,1
Serbia;76
Lithuania;75,9
Brunei;75,9
Brazil;75,9
North Macedonia;75,8
Kuwait;75,5
Vietnam;75,4
Latvia;75,3
Honduras;75,3
Saudi Arabia;75,1
Bulgaria;75,1
Mexico;75,1
Armenia;75,1
Mauritius;75
Belarus;74,8
Saint Kitts and Nevis;74,8
Belize;74,6
Jamaica;74,5
Jordan;74,5
Nicaragua;74,5
Paraguay;74,3
Guatemala;74,3
Dominican Republic;74,1
Palestine;74,1
Marshall Islands;74,1
Palau;73,9
Bahamas;73,9
Georgia;73,8
Kazakhstan;73,6
Trinidad and Tobago;73,6
Seychelles;73,4
Samoa;73,3
El Salvador;73,3
Azerbaijan;73
Cape Verde;73
Solomon Islands;73
Libya;72,9
Syria;72,7
Russia;72,9
Bangladesh;72,6
Saint Vincent and the Grenadines;72,5
Grenada;72,4
Ukraine;72,1
Venezuela;72,1
Egypt;72
Moldova;71,9
Bhutan;71,8
Suriname;71,8
Uzbekistan;71,7
Indonesia;71,7
Bolivia;71,5
Kyrgyzstan;71,5
Philippines;71,2
Tajikistan;71,1
Tonga;70,9
Nepal;70,8
Iraq;70,6
Vanuatu;70,5
S?o Tom? and Pr?ncipe;70,4
Mongolia;69,9
Guyana;69,9
Cambodia;69,8
India;69,7
Botswana;69,6
East Timor;69,5
Rwanda;69
Kiribati;68,4
Turkmenistan;68,2
Micronesia;67,9
Laos;67,9
Senegal;67,9
Fiji;67,4
Pakistan;67,3
Myanmar;67,1
Djibouti;67,1
Madagascar;67
Kenya;66,7
Ethiopia;66,6
Gabon;66,5
Eritrea;66,3
Yemen;66,1
Tanzania;65,5
Sudan;65,3
Mauritania;64,9
Afghanistan;64,8
Republic of the Congo;64,6
Papua New Guinea;64,5
Comoros;64,3
Malawi;64,3
South Africa;64,1
Ghana;64,1
Liberia;64,1
Haiti;64
Zambia;63,9
Namibia;63,7
Uganda;63,4
Niger;62,4
Gambia;62,1
Benin;61,8
Guinea;61,6
Burkina Faso;61,6
Burundi;61,6
Zimbabwe;61,5
Angola;61,2
Togo;61
Mozambique;60,9
Democratic Republic of the Congo;60,7
Eswatini;60,2
Cameroon;59,3
Mali;59,3
Equatorial Guinea;58,7
Guinea-Bissau;58,3
South Sudan;57,9
Ivory Coast;57,8
Nigeria;54,7
Sierra Leone;54,7
Lesotho;54,3
Chad;54,2
Central African Republic;53,3
