country;IMF;UN;WB
Liechtenstein;;180227;175814
Monaco;;173696;190513
Luxembourg;131302;117182;115874
Bermuda;;123945;107080
Ireland;102394;86251;85268
Cayman Islands;;95191;85083
Switzerland;93515;86919;87097
Norway;82244;66871;67390
United States;69375;63123;63414
Iceland;68844;63644;59270
Denmark;67920;61477;61063
Singapore;66263;58114;59798
Australia;62619;55823;51693
Qatar;61791;50815;50124
Sweden;58639;53575;52274
Netherlands;57715;53334;52397
Greenland;;55139;53041
Austria;53793;48106;48587
Finland;53523;48685;48773
Canada;52791;43560;43258
San Marino;50934;45832;47731
Germany;50788;45909;46208
Belgium;50413;45028;45159
Israel;49840;47034;44169
Hong Kong;49485;46611;46324
British Virgin Islands;;49357;
New Zealand;48349;43972;41442
United Kingdom;46200;40718;41125
France;45028;38959;39030
United Arab Emirates;43538;36285;36285
Macau;42107;37474;39403
Japan;40704;39990;40193
Andorra;40417;37072;40897
Italy;35585;31238;31714
South Korea;35196;31947;31632
Guam;;;34624
Puerto Rico;34143;36052;32291
New Caledonia;;34006;34789
Brunei;33979;27437;27443
Taiwan;33402;28383;
Malta;31997;33771;27885
Spain;30537;27409;27063
Cyprus;29486;28133;26624
Slovenia;28939;25777;25517
Kuwait;27927;24809;24812
Bahamas;27437;25194;25194
Estonia;27101;23106;23027
Bahrain;26294;19925;20410
Czech Republic;25806;22911;22932
Aruba;25701;23386;30253
Portugal;24457;22413;22176
Turks and Caicos Islands;;23881;23880
Saudi Arabia;23762;20110;20110
Lithuania;22412;20772;20234
Slovakia;21383;19264;19267
French Polynesia;;20707;14324
Northern Mariana Islands;;;20660
Sint Maarten;;20000;29160
Greece;19827;18117;17623
Latvia;19539;17871;17726
Hungary;18528;16129;15981
Oman;17633;12409;12660
Poland;17318;15764;15721
Anguilla;;17226;
Uruguay;16965;15438;15438
Saint Kitts and Nevis;16917;17434;18438
Chile;16799;13232;13232
Cook Islands;;16135;
Barbados;16105;15449;15374
Cura?ao;;15819;16746
Croatia;15808;13934;14134
Trinidad and Tobago;15353;15286;15426
Romania;14864;12929;12896
Antigua and Barbuda;14118;13993;13993
Panama;13861;12269;12510
Montserrat;;13523;
Seychelles;13140;10767;10764
American Samoa;;;12845
Iran;12725;11183;2423
Maldives;11899;6924;6924
China;11891;10229;10435
