country;Rate;Count
Afghanistan;6,70;2474
Albania;2,30;66
Algeria;1,40;542
Andorra;0,00;0
Angola;4,80;1217
Anguilla;28,30;4
Antigua and Barbuda;11,10;10
Argentina;5,30;2362
Armenia;1,70;50
Aruba;1,90;2
Australia;0,90;222
Austria;1,00;86
Azerbaijan;2,20;219
Bahamas;32,00;122
Bahrain;0,50;7
Bangladesh;2,40;383
Barbados;9,80;28
Belarus;2,40;226
Belgium;1,70;193
Belize;37,80;142
Benin;1,10;126
Bermuda;8,10;5
Bhutan;1,20;9
Bolivia;6,20;686
Bosnia and Herzegovina;1,20;39
Botswana;15,20;303
Brazil;27,40;57358
British Virgin Islands;8,30;2
Brunei;0,50;2
Bulgaria;1,30;92
Burkina Faso;1,30;240
Burundi;6,10;635
Cape Verde;6,80;37
Cambodia;1,80;268
Cameroon;1,40;341
Canada;1,80;651
Cayman Islands;8,20;5
Central African Republic;20,10;913
Channel Islands;0,00;0
Chile;4,40;825
China;0,50;7525
Colombia;25,30;12586
Costa Rica;11,30;563
Croatia;0,60;24
Cuba;5,00;572
Cura?ao;19,00;26
Cyprus;1,30;15
Czech Republic;0,60;66
Denmark;1,00;58
Dominica;26,60;19
Dominican Republic;10,00;1068
Ecuador;5,80;991
Egypt;2,60;2207
El Salvador;52,00;334
England and Wales;1,20;726
Estonia;2,10;28
Eswatini;11,60;130
Ethiopia;8,80;8153
Finland;1,60;90
France;1,20;779
French Guiana;13,20;30
Georgia;2,20;89
Germany;0,90;788
Ghana;2,10;609
Gibraltar;3,00;1
Greece;0,90;99
Greenland;5,30;3
Grenada;10,80;12
Guadeloupe;5,80;23
Guatemala;22,50;3881
Guinea-Bissau;1,10;21
Guyana;14,20;111
Haiti;6,70;743
Holy See;0,00;0
Honduras;38,90;3732
Hong Kong;0,70;48
Hungary;2,50;242
Iceland;0,90;3
India;3,10;41651
Indonesia;0,40;115
Iran;2,50;1936
Iraq;10,10;3339
Iraq (excluding Kurdistan);10,10;3029
Ireland;0,90;42
Isle of Man;0,00;0
Israel;1,50;123
Italy;0,60;345
Jamaica;43,90;1287
Japan;0,30;334
Jordan;1,40;133
Kazakhstan;5,10;915
Kenya;4,90;2533
Kosovo;2,40;44
Kurdistan Region (Iraq);2,20;111
Kuwait;1,80;61
Kyrgyzstan;2,20;138
Latvia;4,40;84
Lebanon;2,50;171
Lesotho;43,60;897
Liberia;3,30;135
Liechtenstein;2,60;1
Lithuania;4,60;128
Luxembourg;0,30;2
Macau;0,30;2
Malawi;1,80;279
Malaysia;2,10;627
Maldives;0,70;3
Malta;1,60;7
Martinique;2,80;11
Mauritius;2,90;37
Mayotte;5,90;12
Mexico;29,10;36685
Monaco;0,00;0
Mongolia;6,20;196
Montenegro;2,20;14
Montserrat;20,30;1
Morocco;1,40;510
Mozambique;3,50;849
Myanmar;2,30;1198
Namibia;17,70;388
Nepal;2,30;627
Netherlands;0,60;100
New Zealand;0,70;35
Nicaragua;7,20;453
Niger;4,40;788
Nigeria;34,50;64201
Northern Ireland;1,20;23
Norway;0,50;25
Oman;0,30;13
Pakistan;3,90;8241
Panama;9,40;392
Paraguay;7,10;497
Peru;7,90;2487
Philippines;6,50;6895
Poland;0,70;277
Portugal;0,80;81
Puerto Rico;21,10;641
Qatar;0,40;9
South Korea;0,60;309
Moldova;4,10;166
North Macedonia;1,20;25
R?union;1,80;15
Romania;1,30;250
Russia;8,20;11964
Rwanda;2,60;293
Saint Helena;0,00;0
Saint Kitts and Nevis;36,10;18
Saint Lucia;21,40;39
Saint Martin (French part);27,70;10
Saint Pierre and Miquelon;15,80;1
Saint Vincent and the Grenadines;36,50;40
San Marino;0,00;0
S?o Tom? and Pr?ncipe;3,30;6
Saudi Arabia;1,30;419
Scotland;1,10;61
Senegal;0,30;39
Serbia;1,20;108
Seychelles;12,50;12
Sierra Leone;1,70;124
Singapore;0,20;9
Slovakia;1,10;62
Slovenia;0,50;10
South Africa;36,40;21036
South Sudan;14,90;1504
Spain;0,60;290
Sri Lanka;2,40;514
Palestine;0,50;24
Sudan;5,10;1702
Suriname;5,40;31
Sweden;1,10;108
Switzerland;0,60;50
Syria;0,90;149
Taiwan;0,80;192
Tajikistan;1,60;126
Thailand;2,60;1787
East Timor;4,10;49
Trinidad and Tobago;30,60;420
Tunisia;3,10;332
Turkey;2,60;2133
Turkmenistan;4,20;203
Turks and Caicos Islands;5,70;2
Uganda;10,50;4497
Ukraine;6,20;2751
United Arab Emirates;0,50;44
United Kingdom;1,20;809
Tanzania;6,50;3439
United States;5,00;16214
U.S. Virgin Islands;49,30;52
Uruguay;12,10;416
Uzbekistan;1,10;363
Venezuela;36,70;10598
Vietnam;1,50;1358
Yemen;6,80;1703
Zambia;5,40;853
Zimbabwe;7,50;981
